STATEFP00,COUNTYFP00,TRACTCE00,CTIDFP00,NAME00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00
"48","453","001766","48453001766","17.66",Census Tract 17.66,G5020,S,"279772166","7922100","+30.5486598","-097.9935380"
"48","453","002413","48453002413","24.13",Census Tract 24.13,G5020,S,"1345937","0","+30.1971090","-097.7402767"
"48","453","002412","48453002412","24.12",Census Tract 24.12,G5020,S,"1389365","0","+30.1894059","-097.7514898"
"48","453","002411","48453002411","24.11",Census Tract 24.11,G5020,S,"3964067","0","+30.2052875","-097.7488784"
"48","453","002410","48453002410","24.10",Census Tract 24.10,G5020,S,"1212315","0","+30.2057643","-097.7866656"
"48","453","002409","48453002409","24.09",Census Tract 24.09,G5020,S,"1336517","0","+30.2075347","-097.7935707"
"48","453","002420","48453002420","24.20",Census Tract 24.20,G5020,S,"10181917","2146","+30.1703126","-097.7660082"
"48","453","002403","48453002403","24.03",Census Tract 24.03,G5020,S,"2605855","0","+30.2122145","-097.7622832"
"48","453","002402","48453002402","24.02",Census Tract 24.02,G5020,S,"3571529","0","+30.2016735","-097.7751750"
"48","453","002312","48453002312","23.12",Census Tract 23.12,G5020,S,"4435000","0","+30.2261069","-097.6946374"
"48","453","002311","48453002311","23.11",Census Tract 23.11,G5020,S,"4761811","247155","+30.2389530","-097.7070420"
"48","453","002308","48453002308","23.08",Census Tract 23.08,G5020,S,"3230112","0","+30.2290131","-097.7521621"
"48","453","002307","48453002307","23.07",Census Tract 23.07,G5020,S,"2131614","0","+30.2230762","-097.7411143"
"48","453","002315","48453002315","23.15",Census Tract 23.15,G5020,S,"477755","0","+30.2339238","-097.7321357"
"48","453","002424","48453002424","24.24",Census Tract 24.24,G5020,S,"2769414","0","+30.1921825","-097.7992414"
"48","453","002316","48453002316","23.16",Census Tract 23.16,G5020,S,"681530","0","+30.2313978","-097.7258685"
"48","453","002304","48453002304","23.04",Census Tract 23.04,G5020,S,"1256545","298036","+30.2428325","-097.7235945"
"48","453","001747","48453001747","17.47",Census Tract 17.47,G5020,S,"2381561","0","+30.1807704","-097.8245898"
"48","453","002113","48453002113","21.13",Census Tract 21.13,G5020,S,"2045135","0","+30.3170432","-097.6725318"
"48","453","001402","48453001402","14.02",Census Tract 14.02,G5020,S,"1304453","55440","+30.2436580","-097.7411635"
"48","453","001308","48453001308","13.08",Census Tract 13.08,G5020,S,"1288570","0","+30.2326673","-097.7618433"
"48","453","001307","48453001307","13.07",Census Tract 13.07,G5020,S,"1793884","0","+30.2362244","-097.7686584"
"48","453","001305","48453001305","13.05",Census Tract 13.05,G5020,S,"3074647","63358","+30.2515978","-097.7554467"
"48","453","001304","48453001304","13.04",Census Tract 13.04,G5020,S,"1827985","0","+30.2484063","-097.7734338"
"48","453","001303","48453001303","13.03",Census Tract 13.03,G5020,S,"1696295","25882","+30.2599676","-097.7615074"
"48","453","002112","48453002112","21.12",Census Tract 21.12,G5020,S,"1701930","0","+30.3139332","-097.6825965"
"48","453","002110","48453002110","21.10",Census Tract 21.10,G5020,S,"3542752","0","+30.2741418","-097.6774597"
"48","453","002109","48453002109","21.09",Census Tract 21.09,G5020,S,"2796474","0","+30.2815095","-097.6905732"
"48","453","002108","48453002108","21.08",Census Tract 21.08,G5020,S,"3287416","0","+30.2973102","-097.6691258"
"48","453","002107","48453002107","21.07",Census Tract 21.07,G5020,S,"3058917","0","+30.2956742","-097.6828574"
"48","453","002106","48453002106","21.06",Census Tract 21.06,G5020,S,"1626927","0","+30.3067312","-097.6903036"
"48","453","002105","48453002105","21.05",Census Tract 21.05,G5020,S,"1937220","0","+30.3149177","-097.7055914"
"48","453","002104","48453002104","21.04",Census Tract 21.04,G5020,S,"1237003","0","+30.3147279","-097.6965720"
"48","453","002003","48453002003","20.03",Census Tract 20.03,G5020,S,"2014731","0","+30.2190385","-097.7746328"
"48","453","002002","48453002002","20.02",Census Tract 20.02,G5020,S,"1544724","0","+30.2229536","-097.7848759"
"48","453","002005","48453002005","20.05",Census Tract 20.05,G5020,S,"1638581","0","+30.2348342","-097.7801524"
"48","453","001200","48453001200","12",Census Tract 12,G5020,S,"2326084","193194","+30.2727828","-097.7591845"
"48","453","001100","48453001100","11",Census Tract 11,G5020,S,"2437482","264073","+30.2664790","-097.7426630"
"48","453","001000","48453001000","10",Census Tract 10,G5020,S,"1981746","368171","+30.2528309","-097.7258285"
"48","453","000902","48453000902","9.02",Census Tract 9.02,G5020,S,"3041429","0","+30.2591922","-097.7159697"
"48","453","000901","48453000901","9.01",Census Tract 9.01,G5020,S,"864968","0","+30.2655710","-097.7237663"
"48","453","000804","48453000804","8.04",Census Tract 8.04,G5020,S,"1047621","0","+30.2700914","-097.7219450"
"48","453","000803","48453000803","8.03",Census Tract 8.03,G5020,S,"1444136","0","+30.2768114","-097.7204658"
"48","453","000802","48453000802","8.02",Census Tract 8.02,G5020,S,"1715090","0","+30.2735438","-097.7079910"
"48","453","002313","48453002313","23.13",Census Tract 23.13,G5020,S,"2426977","0","+30.2201787","-097.7259167"
"48","453","001911","48453001911","19.11",Census Tract 19.11,G5020,S,"3273938","95900","+30.2581392","-097.7859887"
"48","453","001901","48453001901","19.01",Census Tract 19.01,G5020,S,"3967333","0","+30.2502689","-097.7862402"
"48","453","001835","48453001835","18.35",Census Tract 18.35,G5020,S,"2573408","0","+30.3867979","-097.6615290"
"48","453","001832","48453001832","18.32",Census Tract 18.32,G5020,S,"1502087","0","+30.3801453","-097.6688141"
"48","453","001829","48453001829","18.29",Census Tract 18.29,G5020,S,"1704058","0","+30.4163985","-097.7128339"
"48","453","001828","48453001828","18.28",Census Tract 18.28,G5020,S,"2360923","0","+30.4215881","-097.7237245"
"48","453","001849","48453001849","18.49",Census Tract 18.49,G5020,S,"7486315","0","+30.3946600","-097.7201441"
"48","453","001758","48453001758","17.58",Census Tract 17.58,G5020,S,"1419391","0","+30.4130192","-097.7581820"
"48","453","001826","48453001826","18.26",Census Tract 18.26,G5020,S,"3253728","0","+30.4023178","-097.6829404"
"48","453","001845","48453001845","18.45",Census Tract 18.45,G5020,S,"2641036","0","+30.3924928","-097.6904358"
"48","453","001844","48453001844","18.44",Census Tract 18.44,G5020,S,"1015708","0","+30.3959573","-097.7013525"
"48","453","002419","48453002419","24.19",Census Tract 24.19,G5020,S,"1354200","0","+30.1912902","-097.7609149"
"48","453","000801","48453000801","8.01",Census Tract 8.01,G5020,S,"1292330","0","+30.2669542","-097.7014857"
"48","453","000700","48453000700","7",Census Tract 7,G5020,S,"1608177","0","+30.2776908","-097.7410693"
"48","453","000604","48453000604","6.04",Census Tract 6.04,G5020,S,"674723","0","+30.2854648","-097.7477653"
"48","453","000603","48453000603","6.03",Census Tract 6.03,G5020,S,"783310","0","+30.2919907","-097.7462505"
"48","453","000601","48453000601","6.01",Census Tract 6.01,G5020,S,"1113393","0","+30.2874117","-097.7380441"
"48","453","000500","48453000500","5",Census Tract 5,G5020,S,"1151582","0","+30.2960628","-097.7341731"
"48","453","000402","48453000402","4.02",Census Tract 4.02,G5020,S,"1544473","0","+30.2841415","-097.7155190"
"48","453","000401","48453000401","4.01",Census Tract 4.01,G5020,S,"2182614","0","+30.2882481","-097.7250556"
"48","453","001823","48453001823","18.23",Census Tract 18.23,G5020,S,"2460146","0","+30.3700995","-097.6868974"
"48","453","001822","48453001822","18.22",Census Tract 18.22,G5020,S,"1748927","0","+30.3741925","-097.6963167"
"48","453","001821","48453001821","18.21",Census Tract 18.21,G5020,S,"2664129","0","+30.3809890","-097.7086031"
"48","453","001820","48453001820","18.20",Census Tract 18.20,G5020,S,"1975694","0","+30.3718014","-097.7148158"
"48","453","001819","48453001819","18.19",Census Tract 18.19,G5020,S,"895416","0","+30.3634311","-097.7026509"
"48","453","001818","48453001818","18.18",Census Tract 18.18,G5020,S,"2569058","0","+30.3602487","-097.7222365"
"48","453","001817","48453001817","18.17",Census Tract 18.17,G5020,S,"2506873","0","+30.3666405","-097.7346652"
"48","453","001813","48453001813","18.13",Census Tract 18.13,G5020,S,"3532604","0","+30.3451651","-097.6875075"
