"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
48021950300,"Texas","Bastrop County",15255,7591,7664,27.3,61.4,7.7,0.8,2.1,0,9907,70435,13726,26546,3027,11.7,11.7,48.5,12.1,20.5,12.8,6.2,81.4,9.5,1.2,0.7,1.4,5.8,33.5,5811,65.5,25.2,8.8,0.5,6.2
48021950802,"Texas","Bastrop County",7168,3443,3725,63.7,33.4,1.4,0,0.2,0,3723,58267,5077,20154,3187,18.6,27.2,29.7,14.5,15.1,19.9,20.8,73.8,19.4,0,2.8,1.9,2,38,3052,76.5,17.6,5.9,0,9.4
48453000101,"Texas","Travis County",4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0,3381,101944,15434,67043,7429,6.3,4,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0,4.3,11,17.4,2390,76.1,16.4,7.5,0,3.4
48453000102,"Texas","Travis County",2640,1226,1414,4.8,86.9,3.3,0,1.8,0,2019,157563,20065,101349,12931,1.7,0,68.3,5.5,23.5,0.8,2,74.1,1.8,1.9,0.2,1.8,20.2,20.5,1308,71.3,13.1,15.6,0,1.8
48453000203,"Texas","Travis County",1594,768,826,18.8,62.4,6.7,0,8.7,0,1291,54777,17075,42938,13228,35.1,76.1,82.5,2.4,12.9,1.1,1.1,62.6,5.5,15.8,8.6,0.8,6.8,17.9,800,73.3,22.4,4.4,0,6.7
48453000204,"Texas","Travis County",3060,1704,1356,14.3,74.7,1.2,0,4.6,0,2514,56972,4295,56479,8304,20.4,7.8,76.7,10.8,11,0.9,0.6,62.9,3.2,6,7.2,7.1,13.6,18.5,1796,62.1,25.7,12.2,0,3
48453000205,"Texas","Travis County",3937,2114,1823,17.4,65.6,3.7,0.7,9.2,1,3278,67589,8892,47737,5003,5.6,4.9,70.7,8.5,16.4,1.4,2.9,61.4,4.4,11.1,2,1.2,20,21.2,2969,70.4,19.2,10.4,0,2.4
48453000206,"Texas","Travis County",3292,1615,1677,12.9,76.3,3.9,0,3.2,0,2715,80781,12534,59458,7559,7.6,3.7,59.3,11.4,23.5,4.1,1.6,71.7,6.3,6.6,1.2,4,10.2,21.2,2264,75.4,14.3,10.3,0,1.3
48453000302,"Texas","Travis County",4964,2502,2462,11.9,71.4,4,1,7.5,0.3,4063,55120,8075,45952,5580,19.8,0,67,9.6,18.7,2.2,2.5,52.3,7.5,17.1,0.2,11.1,11.9,17.3,3359,64.8,30.9,4.3,0,5
48453000304,"Texas","Travis County",3029,1565,1464,16.4,76.9,0.4,0,6,0,2456,53644,6279,39413,6213,14.7,0,62.8,12.7,21.1,1.2,2.2,59.1,7.8,14.7,2.9,9.7,5.8,19.9,2099,68.9,27.2,4,0,1.9
48453000305,"Texas","Travis County",3666,1776,1890,13.3,79.8,2.3,0,2.8,0,3098,52766,5643,40020,5079,22.6,10,57.7,13.1,21.4,4.2,3.6,68,6.5,10,1.2,6.5,7.8,19.2,2616,69.7,20.7,9.2,0.4,3.1
48453000306,"Texas","Travis County",4869,2286,2583,22.1,57.9,9.3,0,8.5,0,3577,73875,9840,50321,5383,16.2,20,61.5,8.5,20.6,8.1,1.3,72.1,9.3,3.4,1.1,4,10.2,21.2,3059,72.7,18.2,9,0,3.5
48453000307,"Texas","Travis County",1786,856,930,17.3,72.8,3.2,0,2.5,0,1452,68214,11842,45944,4826,9.2,0,61.5,13.5,15.2,5,4.8,68,3.8,4.3,2.7,12,9.2,17,1224,72.3,16.9,10.8,0,4.1
48453000401,"Texas","Travis County",4087,1910,2177,15.1,69.5,2.6,0,6.7,0,3418,68850,9632,39896,7692,21.4,5,63.2,13.6,19.8,1.1,2.3,62.7,8.9,2.6,6.1,7.7,12.2,17.5,2638,74.3,16.6,9.1,0,2.3
48453000402,"Texas","Travis County",3400,1458,1942,13.2,57.1,21.7,0,2.8,0.9,2783,53796,10062,33111,6494,15.4,26.4,63.4,16.6,10.3,5.8,4,69.4,5.2,6.2,2.4,7.6,9.2,18.3,2169,67.1,22.6,10.3,0,2.6
48453000500,"Texas","Travis County",4486,2144,2342,12,75.4,0.4,0,9.9,0,3804,38750,10364,34234,4764,34.3,18.2,63.2,18.4,13.3,1.7,3.4,45.6,9.3,6,15.1,13.7,10.2,14.7,2736,70.7,25.1,4.3,0,6
48453000601,"Texas","Travis County",10147,4118,6029,20.6,54,14.9,0.2,7.6,0.1,9342,15938,10631,4602,1622,61.7,18.2,29,28.9,34,2.5,5.7,44.7,5.4,2.1,37.8,3,7,14.3,2757,82,16,1.8,0.2,15.1
48453000603,"Texas","Travis County",8045,4150,3895,18.3,51.2,6.7,0,20.4,0,7358,10035,2399,6953,1083,79,0,34.4,19,38.4,0.8,7.4,49.5,8.2,7.3,23,8.7,3.4,18.8,3418,78.3,20.5,1.1,0,8.7
